Pathway_ID,Pathway,Pathway_Hierarchy,Uniprot_IDs,Genes,GO_Annotations,Gene_Count
100,Vitamin B2 metabolism,Metabolism > Vitamin metabolism > Vitamin B2 metabolism,"P38075, P50861, Q03778, Q08230, Q99258","PDX3, RIB4, Q03778, SDH5, RIB3",GO:0009231 (riboflavin biosynthetic process); GO:0009398 (FMN biosynthetic process); GO:0010181 (FMN binding); GO:0018293 (protein-FAD linkage),5
101,Vitamin B6 metabolism,Metabolism > Vitamin metabolism > Vitamin B6 metabolism,"P38075, P52893, P53320, Q12486","PDX3, ALT1, MTM1, YOR131C",GO:0004733 (pyridoxamine phosphate oxidase activity); GO:0030170 (pyridoxal phosphate binding); GO:0033883 (pyridoxal phosphatase activity),4
102,Vitamin C metabolism,Metabolism > Vitamin metabolism > Vitamin C metabolism,P54783,ALO1,"GO:0070485 (dehydro-D-arabinono-1,4-lactone biosynthetic process)",1
103,Folate and 1-C metabolism,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,"P05694, P07807, P09440, P37292, P40099, P53848, Q08645, Q12676","MET6, DFR1, MIS1, SHM1, FAU1, FOL1, MET7, FOL3",GO:0003871 (5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity); GO:0004326 (tetrahydrofolylpolyglutamate synthase activity); GO:0004372 (glycine hydroxymethyltransferase activity); GO:0009396 (folic acid-containing compound biosynthetic process); GO:0046654 (tetrahydrofolate biosynthetic process); GO:0046656 (folic acid biosynthetic process),8
104,Detoxification,Metabolism > Detoxification,"P00358, P00359, P00445, P00447, P09624, P17695, P22803, P25566, P29509, P32771, P34227, P36014, P36156, P38013, P38143, P38169, P38345, P38816, P40029, P40202, P40581, P40582, P41921, P43616, P47016, Q07540, Q12320","TDH2, TDH3, SOD1, SOD2, LPD1, GRX2, TRX2, MXR2, TRR1, P32771, PRX1, P36014, ECM4, AHP1, GPX2, BNA4, SDH8, TRR2, MXR1, CCS1, HYR1, GTT1, GLR1, DUG1, NIT2, YFH1, GLO4",GO:0004416 (hydroxyacylglutathione hydrolase activity); GO:0004791 (thioredoxin-disulfide reductase (NADPH) activity); GO:0006749 (glutathione metabolic process); GO:0006751 (glutathione catabolic process); GO:0006801 (superoxide metabolic process); GO:0006979 (response to oxidative stress); GO:0008113 (peptide-methionine (S)-S-oxide reductase activity); GO:0008379 (thioredoxin peroxidase activity); GO:0016174 (NAD(P)H oxidase H2O2-forming activity); GO:0019430 (removal of superoxide radicals); GO:0033743 (peptide-methionine (R)-S-oxide reductase activity); GO:0034614 (cellular response to reactive oxygen species); GO:0042743 (hydrogen peroxide metabolic process); GO:0047066 (phospholipid-hydroperoxide glutathione peroxidase activity); GO:0051903 (S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity); GO:0072593 (reactive oxygen species metabolic process); GO:0110050 (deaminated glutathione amidase activity),27
105,ROS and glutathione metabolism,Metabolism > Detoxification > ROS and glutathione metabolism,"P00358, P00359, P00445, P00447, P09624, P17695, P22803, P25566, P29509, P32771, P34227, P36014, P36156, P38013, P38143, P38169, P38345, P38816, P40029, P40202, P40581, P40582, P41921, P43616, P47016, Q07540, Q12320","TDH2, TDH3, SOD1, SOD2, LPD1, GRX2, TRX2, MXR2, TRR1, P32771, PRX1, P36014, ECM4, AHP1, GPX2, BNA4, SDH8, TRR2, MXR1, CCS1, HYR1, GTT1, GLR1, DUG1, NIT2, YFH1, GLO4",GO:0004416 (hydroxyacylglutathione hydrolase activity); GO:0004791 (thioredoxin-disulfide reductase (NADPH) activity); GO:0006749 (glutathione metabolic process); GO:0006751 (glutathione catabolic process); GO:0006801 (superoxide metabolic process); GO:0006979 (response to oxidative stress); GO:0008113 (peptide-methionine (S)-S-oxide reductase activity); GO:0008379 (thioredoxin peroxidase activity); GO:0016174 (NAD(P)H oxidase H2O2-forming activity); GO:0019430 (removal of superoxide radicals); GO:0033743 (peptide-methionine (R)-S-oxide reductase activity); GO:0034614 (cellular response to reactive oxygen species); GO:0042743 (hydrogen peroxide metabolic process); GO:0047066 (phospholipid-hydroperoxide glutathione peroxidase activity); GO:0051903 (S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity); GO:0072593 (reactive oxygen species metabolic process); GO:0110050 (deaminated glutathione amidase activity),27
106,Electron carriers,Metabolism > Electron carriers,"P00420, P04840, P16603, P36060, P38626, P48360, Q08058","COX3, POR1, NCP1, MCR1, CBR1, ARH1, COQ10","GO:0003958 (NADPH-hemoprotein reductase activity); GO:0004128 (cytochrome-b5 reductase activity, acting on NAD(P)H); GO:0004324 (ferredoxin-NADP+ reductase activity); GO:0048039 (ubiquinone binding)",7
107,Cytochromes,Metabolism > Electron carriers > Cytochromes,"P16603, P36060, P38626","NCP1, MCR1, CBR1","GO:0003958 (NADPH-hemoprotein reductase activity); GO:0004128 (cytochrome-b5 reductase activity, acting on NAD(P)H)",3
108,"Q-linked reactions, other","Metabolism > Electron carriers > Q-linked reactions, other","P00420, P04840, Q08058","COX3, POR1, COQ10",GO:0048039 (ubiquinone binding),3
109,Sulfur metabolism,Metabolism > Sulfur metabolism,"P00445, P17106, P22803, Q08686, Q08742, Q12305","SOD1, P17106, TRX2, TUM1, RDL2, RDL1","GO:0000103 (sulfate assimilation); GO:0004792 (thiosulfate-cyanide sulfurtransferase activity); GO:0006790 (sulfur compound metabolic process); GO:0016670 (oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor); GO:1900059 (positive regulation of sulfate assimilation)",6
110,Small molecule transport,Small molecule transport,"P23641, P32331, P33310, P38085, P38087, P38152, P38279, P38921, P39953, P40035, P40464, P40556, Q03028, Q04013, Q06143, Q12375, Q12482, Q99297","MIR1, YMC1, MDL1, TAT1, YMC2, CTP1, P38279, PET8, YEA6, PIC2, FLX1, YIA6, ODC1, YHM2, DIC1, ORT1, AGC1, ODC2",GO:0005310 (dicarboxylic acid transmembrane transporter activity); GO:0005342 (organic acid transmembrane transporter activity); GO:0006843 (mitochondrial citrate transmembrane transport); GO:0015174 (basic amino acid transmembrane transporter activity); GO:0015230 (FAD transmembrane transporter activity); GO:0015421 (ABC-type oligopeptide transporter activity); GO:0015805 (S-adenosyl-L-methionine transport); GO:0015813 (L-glutamate transmembrane transport); GO:0015827 (tryptophan transport); GO:0035352 (NAD transmembrane transport); GO:0035435 (phosphate ion transmembrane transport); GO:1990575 (mitochondrial L-ornithine transmembrane transport),18
111,SLC25A family,Small molecule transport > SLC25A family,"P23641, P32331, P38085, P38087, P38152, P38279, P38921, P39953, P40035, P40464, P40556, Q03028, Q04013, Q06143, Q12375, Q12482, Q99297","MIR1, YMC1, TAT1, YMC2, CTP1, P38279, PET8, YEA6, PIC2, FLX1, YIA6, ODC1, YHM2, DIC1, ORT1, AGC1, ODC2",GO:0005310 (dicarboxylic acid transmembrane transporter activity); GO:0005342 (organic acid transmembrane transporter activity); GO:0006843 (mitochondrial citrate transmembrane transport); GO:0015174 (basic amino acid transmembrane transporter activity); GO:0015230 (FAD transmembrane transporter activity); GO:0015805 (S-adenosyl-L-methionine transport); GO:0015813 (L-glutamate transmembrane transport); GO:0015827 (tryptophan transport); GO:0035352 (NAD transmembrane transport); GO:0035435 (phosphate ion transmembrane transport); GO:1990575 (mitochondrial L-ornithine transmembrane transport),17
112,ABC transporters,Small molecule transport > ABC transporters,P33310,MDL1,GO:0015421 (ABC-type oligopeptide transporter activity),1
113,Calcium uniporter,Small molecule transport > Calcium uniporter,Q12482,AGC1,GO:0015292 (uniporter activity),1
114,Signaling,Signaling,"P14832, P32598, P38880, Q02776, Q07560, Q12171","CPR1, GLC7, MDM31, TIM50, CRD1, MDM32",GO:0006873 (intracellular monoatomic ion homeostasis); GO:0016018 (cyclosporin A binding); GO:0046902 (regulation of mitochondrial membrane permeability),6
115,Calcium homeostasis,Signaling > Calcium homeostasis,"P14832, Q02776","CPR1, TIM50",GO:0016018 (cyclosporin A binding); GO:0046902 (regulation of mitochondrial membrane permeability),2
116,Mitochondrial permeability transition pore,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore,"P14832, Q02776","CPR1, TIM50",GO:0016018 (cyclosporin A binding); GO:0046902 (regulation of mitochondrial membrane permeability),2
117,Mitochondrial dynamics and surveillance,Mitochondrial dynamics and surveillance,"O60200, P00128, P04840, P06787, P07213, P07560, P14907, P18409, P18411, P19516, P20606, P23180, P25349, P25623, P25646, P25694, P25846, P29547, P32266, P32453, P32606, P32830, P32858, P32867, P32939, P35200, P36015, P36112, P36126, P36130, P36135, P36152, P37297, P38182, P38234, P38297, P38325, P38341, P38880, P39006, P39103, P39722, P39925, P39926, P39940, P39952, P40156, P40341, P40344, P40458, P40515, P40530, P40576, P40961, P41800, P42844, P43594, P47025, P47065, P47140, P50085, P50087, P50945, P53083, P53170, P53192, P53212, P53297, P53848, P53867, P54861, P69771, P81449, Q00402, Q02773, Q02888, Q02981, Q03327, Q03640, Q04006, Q04172, Q04406, Q04922, Q05930, Q06109, Q06143, Q06324, Q06524, Q06567, Q06668, Q07653, Q07799, Q07807, Q07878, Q12106, Q12142, Q12167, Q12171, Q12233, Q12315, Q12335, Q12349, Q12375, Q12393, Q12482, Q2V2P4, Q96VH5","MDM35, QCR7, POR1, CMD1, TOM70, SEC4, NSP1, MDM10, FUN14, COX11, SAR1, AIM17, YCP4, SYP1, PTC6, CDC48, MSH1, CAM1, MGM1, ATP11, PET127, TIM12, P32858, SSO1, YPT7, P35200, YKT6, MIC60, SPO14, CAF4, UTH1, P36152, STT4, P38182, RFS1, FZO1, OM14, MIC12, MDM31, PSD1, COX14, GEM1, AFG3, SSO2, RSP5, OXA1, RRG9, YTA12, P40344, ATG32, FIS1, PKP1, INA22, PHB1, MMM1, ZIM17, MIC19, MDV1, PET130, AIM25, PHB2, MIC26, MIC27, MDM34, PKP2, P53192, YGR021W, PBP1, FOL1, P53867, P54861, DID2, TIM11, NUM1, RPM2, INA17, YPL109C, UGO1, TCB3, UPS3, SHE9, EMI1, Q04922, Q05930, RRG8, DIC1, MMR1, Q06524, MCP2, OMS1, HBT1, Q07799, Q07807, VPS13, MCP1, Q12142, RRG1, MDM32, ATP20, GLE1, PST2, ATP14, ORT1, GEP5, AGC1, YIL156W-B, MIC10",GO:0000266 (mitochondrial fission); GO:0000422 (autophagy of mitochondrion); GO:0000423 (mitophagy); GO:0000753 (cell morphogenesis involved in conjugation with cellular fusion); GO:0005543 (phospholipid binding); GO:0005740 (mitochondrial envelope); GO:0006906 (vesicle fusion); GO:0007005 (mitochondrion organization); GO:0008053 (mitochondrial fusion); GO:0010636 (positive regulation of mitochondrial fusion); GO:0042407 (cristae formation); GO:0044233 (mitochondria-associated endoplasmic reticulum membrane contact site); GO:0044289 (mitochondrial inner-outer membrane contact site); GO:0061025 (membrane fusion); GO:0090141 (positive regulation of mitochondrial fission); GO:0097002 (mitochondrial inner boundary membrane); GO:0099617 (matrix side of mitochondrial inner membrane); GO:0160020 (positive regulation of ferroptosis); GO:1901299 (negative regulation of hydrogen peroxide-mediated programmed cell death); GO:1901524 (regulation of mitophagy); GO:1903147 (negative regulation of autophagy of mitochondrion); GO:1903525 (regulation of membrane tubulation); GO:1904902 (ESCRT III complex assembly); GO:1990252 (Syp1 complex); GO:1990456 (mitochondrion-endoplasmic reticulum membrane tethering); GO:1990626 (mitochondrial outer membrane fusion); GO:1990677 (mitochondrial inner membrane assembly complex); GO:1990816 (vacuole-mitochondrion membrane contact site),107
118,Fusion,Mitochondrial dynamics and surveillance > Fusion,"P07560, P25694, P32266, P32867, P36015, P38182, P38297, P39006, P39926, Q03327, Q05930","SEC4, CDC48, MGM1, SSO1, YKT6, P38182, FZO1, PSD1, SSO2, UGO1, Q05930",GO:0006906 (vesicle fusion); GO:0008053 (mitochondrial fusion); GO:0010636 (positive regulation of mitochondrial fusion); GO:0061025 (membrane fusion); GO:1990626 (mitochondrial outer membrane fusion),11
119,Fission,Mitochondrial dynamics and surveillance > Fission,"P20606, P25623, P36130, P40515, P47025, P54861, P69771, Q00402, Q2V2P4","SAR1, SYP1, CAF4, FIS1, MDV1, P54861, DID2, NUM1, YIL156W-B",GO:0000266 (mitochondrial fission); GO:0090141 (positive regulation of mitochondrial fission); GO:1904902 (ESCRT III complex assembly); GO:1990252 (Syp1 complex),9
120,Organelle contact sites,Mitochondrial dynamics and surveillance > Organelle contact sites,"P04840, P07213, P18409, P20606, P32939, P38297, P38325, P39722, P41800, P53083, Q00402, Q02981, Q07878, Q12482","POR1, TOM70, MDM10, SAR1, YPT7, FZO1, OM14, GEM1, MMM1, MDM34, NUM1, YPL109C, VPS13, AGC1",GO:0044233 (mitochondria-associated endoplasmic reticulum membrane contact site); GO:0044289 (mitochondrial inner-outer membrane contact site); GO:0160190 (peroxisome-mitochondrion membrane tether activity); GO:1990456 (mitochondrion-endoplasmic reticulum membrane tethering); GO:1990816 (vacuole-mitochondrion membrane contact site),14
121,Intramitochondrial membrane interactions,Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions,"P00128, P14907, P29547, P32266, P32830, P39925, P39952, P40341, P47065, P53212, Q03640, Q06109, Q06324, Q07878, Q12167, Q12315, Q12393","QCR7, NSP1, CAM1, MGM1, TIM12, AFG3, OXA1, YTA12, PET130, YGR021W, TCB3, RRG8, MMR1, VPS13, RRG1, GLE1, GEP5",GO:0005543 (phospholipid binding); GO:0097002 (mitochondrial inner boundary membrane); GO:0099617 (matrix side of mitochondrial inner membrane),17
122,Mitophagy,Mitochondrial dynamics and surveillance > Mitophagy,"P25646, P32858, P36135, P37297, P38182, P40344, P40458, P40530, P40961, P47140, P50085, P53170, P53192, P53297, P53867, Q07799, Q12142, Q2V2P4","PTC6, P32858, UTH1, STT4, P38182, P40344, ATG32, PKP1, PHB1, AIM25, PHB2, PKP2, P53192, PBP1, P53867, Q07799, Q12142, YIL156W-B",GO:0000422 (autophagy of mitochondrion); GO:0000423 (mitophagy); GO:1901524 (regulation of mitophagy); GO:1903147 (negative regulation of autophagy of mitochondrion),18
123,Apoptosis,Mitochondrial dynamics and surveillance > Apoptosis,"P25349, P36152, P38234, Q12335","YCP4, P36152, RFS1, PST2",GO:0160020 (positive regulation of ferroptosis); GO:1901299 (negative regulation of hydrogen peroxide-mediated programmed cell death),4
124,Cristae formation,Mitochondrial dynamics and surveillance > Cristae formation,"P06787, P32266, P35200, P36112, P38182, P38341, P40576, P43594, P50087, P50945, P81449, Q02888, Q12233, Q12349, Q96VH5","CMD1, MGM1, P35200, MIC60, P38182, MIC12, INA22, MIC19, MIC26, MIC27, TIM11, INA17, ATP20, ATP14, MIC10",GO:0042407 (cristae formation); GO:1903525 (regulation of membrane tubulation); GO:1905153 (regulation of membrane invagination); GO:1990677 (mitochondrial inner membrane assembly complex),15
125,MICOS complex,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,"P36112, P38341, P40576, P43594, P50087, P50945, Q02888, Q96VH5","MIC60, MIC12, INA22, MIC19, MIC26, MIC27, INA17, MIC10",GO:0044284 (mitochondrial crista junction); GO:1990677 (mitochondrial inner membrane assembly complex),8
