Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
TIM10,YHR005C-A,P87108,Essential protein of the mitochondrial intermembrane space; forms a complex with Tim9p (TIM10 complex) that delivers hydrophobic proteins to the TIM22 complex for insertion into the inner membrane,11.2,23.74,0.43,X,,,,0.98,0,0,,,X,,,,,98%
TIM11,YDR322C-A,P81449,"Subunit e of mitochondrial F1F0-ATPase; ATPase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; essential for the dimeric and oligomeric state of ATP synthase, which in turn determines the shape of inner membrane cristae",0.35,0.94,0.46,,,X,,0,0,0.94,,X,,,,,,94%
TIM12,YBR091C,P32830,"Essential protein of the inner mitochondrial membrane; peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins",3.28,11.37,0.53,X,,,,0.54,0.37,0,,,X,,,,,54%
TIM13,YGR181W,P53299,Mitochondrial intermembrane space protein; forms a complex with Tim8p that delivers a subset of hydrophobic proteins to the TIM22 complex for insertion into the inner membrane,16.37,26.43,0.26,X,,,,0.97,0,0,,,X,,,,,97%
TIM17,YJL143W,P39515,"Essential component of the TIM23 complex; with Tim23p, contributes to the architecture and function of the import channel; may link the import motor to the core Translocase of the Inner Mitochondrial membrane (TIM23 complex)",0.23,1.95,0,,,X,,0,0.11,0.68,,X,,,,,,68%
TIM21,YGR033C,P53220,Nonessential component of the TIM23 complex; interacts with the Translocase of the Outer Mitochondrial membrane (TOM complex) and with respiratory enzymes; may regulate the Translocase of the Inner Mitochondrial membrane (TIM23 complex) activity,0.2,0.12,0.14,,,X,,0,0,0.95,,X,,,,,,95%
TIM22,YDL217C,Q12328,Essential core component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane; forms the channel through which proteins are imported,0.24,1.95,0.33,,,X,,0,0.1,0.71,,X,,,,,,71%
TIM23,YNR017W,P32897,"Essential component of the TIM23 complex; involved in protein import into mitochondrial matrix and inner membrane; with Tim17p, contributes to architecture and function of the import channel; TIM23 complex is short for the translocase of the inner mitochondrial membrane ",0.27,0.25,0.09,,,X,,0,0,0.97,,X,,,,,,97%
TIM44,YIL022W,Q01852,Essential component of the TIM23 complex; tethers the import motor and regulatory factors (PAM complex) to the translocation channel (Tim23p-Tim17p core complex); TIM23 complex is short for the translocase of the inner mitochondrial membrane ,1.14,20.17,0.57,,X,,,0,0.97,0,,X,,,,,,97%
TIM50,YPL063W,Q02776,Essential component of the TIM23 complex; acts as receptor for the translocase of the inner mitochondrial membrane (TIM23) complex guiding incoming precursors from the TOM complex; may control the gating of the Tim23p-Tim17p channel,0.26,0.6,0.18,,,X,,0,0,0.95,,X,,,,,,95%
TIM54,YJL054W,P47045,Component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane,0.23,0.2,0.13,,,X,,0,0,0.96,,X,,,,,,96%
TIM8,YJR135W-A,P57744,"Mitochondrial intermembrane space protein; forms a complex with Tim13p that delivers a subset of hydrophobic proteins to the TIM22 complex for inner membrane insertion; homolog of human TIMM8A, implicated in Mohr-Tranebjaerg syndrome",16.65,36.4,0.56,X,,,,0.92,0.01,0,,,X,,,,,92%
TIM9,YEL020W-A,O74700,Essential protein of the mitochondrial intermembrane space; forms a complex with Tim10p (TIM10 complex) that delivers hydrophobic proteins to the TIM22 complex for insertion into the inner membrane,6.77,20.18,0.6,X,,,,0.95,0.03,0,,,X,,,,,95%
TKL1,YPR074C,P23254,"Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL1 has a paralog, TKL2, that arose from the whole genome duplication",1.39,4.71,##,,,,X,0,0.66,0.01,,,,,,,,66%
TMA19,YKL056C,P35691,Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and relocates to the mitochondrial outer surface upon oxidative stress,1.55,6.28,48.45,,X,,,0,0.83,0,,X,,,,,,83%
TOM20,YGR082W,P35180,Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins,0.36,0.07,0.29,,,X,,0,0,0.95,X,,,,,,,95%
TOM22,YNL131W,P49334,Component of the TOM (Translocase of Outer Membrane) complex; responsible for initial import of mitochondrially directed proteins; mediates interaction between TOM and TIM complexes and acts as a receptor for precursor proteins,0.6,0.12,0.08,,,X,,0,0,0.89,X,,,,,,,89%
TOM40,YMR203W,P23644,"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore; pre-Tom40p is phosphorylated by PKA, which impairs its import into mitochondria under non-respiratory conditions",0.27,0.11,0.41,,,X,,0,0,0.96,X,,,,,,,96%
TOM5,YPR133W-A,P80967,Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import of all mitochondrially directed proteins; involved in transfer of precursors from the Tom70p and Tom20p receptors to the Tom40p pore,0.5,0.14,0.19,,,X,,0,0,0.94,X,,,,,,,94%
TOM7,YNL070W,P53507,Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex,0.54,0.12,0,,,X,,0,0,0.92,X,,,,,,,92%
TOM70,YNL121C,P07213,"Component of the TOM (translocase of outer membrane) complex; involved in the recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins; TOM70 has a paralog, TOM71, that arose from the whole genome duplication",0.57,0.15,0.43,,,X,,0,0,0.92,X,,,,,,,92%
TOM71,YHR117W,P38825,"Mitochondrial outer membrane protein; probable minor component of the TOM (translocase of outer membrane) complex responsible for recognition and import of mitochondrially directed proteins; TOM71 has a paralog, TOM70, that arose from the whole genome duplication",0.41,0.22,0.49,,,X,,0,0,0.97,X,,,,,,,97%
TPC1,YGR096W,P53257,Mitochondrial membrane transporter; mediates uptake of the essential cofactor thiamine pyrophosphate (ThPP) into mitochondria; expression appears to be regulated by carbon source; member of the mitochondrial carrier family,0.16,0.05**,0,,,X,,0,0,0,,X,,,,,,0%
TPI1,YDR050C,P00942,"Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region; inhibition of Tpi1p activity by PEP (phosphoenolpyruvate) stimulates redox metabolism in respiring cells; E104D mutation in human TPI causes a rare autosomal disease",2.19,3.47,60.91,,,,X,0,0.06,0,,,,,,,,6%
TPM1,YNL079C,P17536,"Major isoform of tropomyosin; binds to and stabilizes actin cables and filaments, which direct polarized cell growth and the distribution of several organelles; acetylated by the NatB complex and acetylated form binds actin most efficiently; TPM1 has a paralog, TPM2, that arose from the whole genome duplication",6.48,20.00*,7.21,X,,,,0,0,0,,,,X,,,,0%
TPO1,YLL028W,Q07824,"Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; catalyzes uptake of polyamines at alkaline pH and excretion at acidic pH; during oxidative stress exports spermine, spermidine from the cell, which controls timing of expression of stress-responsive genes; phosphorylation enhances activity and sorting to the plasma membrane",0.54,0.12,0,,,X,,0,0,0.92,,X,,,,,,92%
TPO3,YPR156C,Q06451,"Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog, TPO2, that arose from the whole genome duplication",0.22,0.29,0.25,,,X,,0,0,0.96,,X,,,,,,96%
TRM1,YDR120C,P15565,"tRNA methyltransferase; two forms of protein are made by alternative translation starts; localizes to both nucleus and mitochondrion to produce modified base N2,N2-dimethylguanosine in tRNAs in both compartments; nuclear Trm1p is evenly distributed around inner membrane in WT, but mislocalizes as puncta near ER-nucleus junctions in spindle pole body (SPB) mutants; both Trm1p inner nuclear membrane targeting and maintenance depend upon SPB",1.2,2.95,1.3,,,,X,0,0.18,0.07,,,,,,,,18%
TRR1,YDR353W,P29509,"Cytoplasmic thioredoxin reductase; key regulatory enzyme that determines the redox state of the thioredoxin system, which acts as a disulfide reductase system and protects cells against both oxidative and reductive stress; protein abundance increases in response to DNA replication stress; TRR1 has a paralog, TRR2, that arose from the whole genome duplication",3.24,4.96,6.42,,,,X,0.07,0.09,0,,,X,,,,,9%
TRR2,YHR106W,P38816,"Mitochondrial thioredoxin reductase; involved in protection against oxidative stress, required with Glr1p to maintain the redox state of Trx3p; contains active-site motif (CAVC) present in prokaryotic orthologs; binds NADPH and FAD; TRR2 has a paralog, TRR1, that arose from the whole genome duplication",8.64,4.65,1.49,,,,X,0.16,0,0,,,,,,,,16%
TRX1,YLR043C,P22217,"Cytoplasmic thioredoxin isoenzyme; part of thioredoxin system which protects cells against oxidative and reductive stress; forms LMA1 complex with Pbi2p; acts as a cofactor for Tsa1p; required for ER-Golgi transport and vacuole inheritance; with Trx2p, facilitates mitochondrial import of small Tims Tim9p, Tim10p, Tim13p by maintaining them in reduced form; abundance increases iunder DNA replication stress; TRX1 has a paralog, TRX2, that arose from the whole genome duplication",2.08,4.92,17.59,,,,X,0.01,0.4,0,,,X,,,,,40%
TRX2,YGR209C,P22803,"Cytoplasmic thioredoxin isoenzyme; part of thioredoxin system which protects cells against oxidative and reductive stress; forms LMA1 complex with Pbi2p; acts as a cofactor for Tsa1p; required for ER-Golgi transport and vacuole inheritance; with Trx1p, facilitates mitochondrial import of small Tims Tim9p, Tim10p, Tim13p by maintaining them in reduced form; abundance increases under DNA replication stress; TRX2 has a paralog, TRX1, that arose from the whole genome duplication",1.84,5.23,21.8,,,,X,0.01,0.58,0,,,,,,,,58%
TRX3,YCR083W,P25372,"Mitochondrial thioredoxin; highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p",8.62,15.8,0.75,X,,,,0.98,0,0,,,,X,,,,98%
TRZ1,YKR079C,P36159,tRNA 3'-end processing endonuclease tRNase Z; also localized to mitochondria and interacts genetically with Rex2 exonuclease; homolog of the human candidate prostate cancer susceptibility gene ELAC2,2.62,2.92,0.42,,,,X,0,0.01,0,,,,,,,,1%
TSC10,YBR265W,P38342,3-ketosphinganine reductase; catalyzes the second step in phytosphingosine synthesis; essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine; localized to lipid droplets; member of short chain dehydrogenase/reductase protein family,0.29,1.24,0.33,,,X,,0,0,0.91,X,,,,,,,91%
TUF1,YOR187W,P02992,"Mitochondrial translation elongation factor Tu; comprises both GTPase and guanine nucleotide exchange factor activities, while these activities are found in separate proteins in S. pombe and humans",4.99,28.12,0.33,X,,,,0.68,0.27,0,,,,X,,,,68%
TUM1,YOR251C,Q08686,Rhodanese domain sulfur transferase; accepts persulfite from Nfs1p and transfers it to Uba4p in the pathway for 2-thiolation of the wobble uridine base of tRNAs; also stimulates sulfur transfer by Nfs1p; may be mitochondrially localized,2.33,6.46,0.66,,,,X,0.06,0.59,0,,,,,,,,59%
UBP16,YPL072W,Q02863,"Deubiquitinating enzyme anchored to the outer mitochondrial membrane; probably not important for general mitochondrial functioning, but may perform a more specialized function at mitochondria",0.32,0.46,0.08,,,X,,0,0,0.97,X,,,,,,,97%
UBX2,YML013W,Q04228,Bridging factor involved in ER-associated protein degradation (ERAD); bridges the cytosolic Cdc48p-Npl1p-Ufd1p ATPase complex and the membrane associated Ssm4p and Hrd1p ubiquitin ligase complexes; contains a UBX (ubiquitin regulatory X) domain and a ubiquitin-associated (UBA) domain; redistributes from the ER to lipid droplets during the diauxic shift and stationary phase; required for the maintenance of lipid homeostasis,0.18,0.32,0.47,,,X,,0,0,0.94,X,,,,,,,94%
UGO1,YDR470C,Q03327,Outer membrane component of the mitochondrial fusion machinery; binds directly to Fzo1p and Mgm1p and thus links these two GTPases during mitochondrial fusion; involved in fusion of both the outer and inner membranes; facilitates dimerization of Fzo1p during fusion; import into the outer membrane is mediated by Tom70p and Mim1p; has similarity to carrier proteins but is not likely to function as a transmembrane transporter,0.26,0.13,0.1,,,X,,0,0,0.97,X,,,,,,,97%
UIP4,YPL186C,Q08926,Protein that interacts with Ulp1p; a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates; detected in a phosphorylated state in the mitochondrial outer membrane; also detected in ER and nuclear envelope,1.18,0.19,8.17,,,X,,0,0,0.23,X,,,,,,,23%
UPS3,YDR185C,Q04006,"Mitochondrial protein of unknown function; similar to Ups1p and Ups2p which are involved in regulation of mitochondrial cardiolipin and phosphatidylethanolamine levels; null is viable but interacts synthetically with ups1 and ups2 mutations; UPS3 has a paralog, UPS2, that arose from the whole genome duplication",0.38,3.57,0,,X,,,0,0.64,0.24,,X,,,,,,64%
USB1,YLR132C,Q12208,"Putative phosphodiesterase specific for U6 snRNA 3' end modification; trims the 3' poly(u) tract to leave a terminal 3' phosphate; human homolog, hUSB1 (aka C16orf57) produces a 2',3' cyclic phosphate; mutations in hUSB1 are associated with a rare skin condition (OMIM 604173); essential protein that localizes to the nucleus and mitochondria; overexpression suppresses the respiratory defects of oxa1 and mtf2 mutants",0.7,2.23,0.38,,,,X,0,0.07,0.58,,,,,,,,58%
UTH1,YKR042W,P36135,"Mitochondrial inner membrane protein; role in mitophagy is disputed; implicated in cell wall biogenesis, the oxidative stress response, life span during starvation, and cell death; SUN family member; UTH1 has a paralog, NCA3, that arose from the whole genome duplication",3.57,6.69,##,,,,X,0.39,0.17,0,,,,,,,,39%
VAC8,YEL013W,P39968,"Phosphorylated and palmitoylated vacuolar membrane protein; interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway; interacts with Nvj1p to form nucleus-vacuole junctions",2.96,0.29,30.2,,,,X,0,0,0,,,,,,,,0%
VAR1,Q0140,P02381,Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions,0.63,11.63,0.12,,X,,,0,0.97,0,,X,,,,,,97%
VAS1,YGR094W,P07806,Mitochondrial and cytoplasmic valyl-tRNA synthetase,1.73,5.46,1.8,,,,X,0.01,0.67,0,,,,,,,,67%
VPS1,YKR001C,P21576,"Dynamin-like GTPase required for vacuolar sorting; also involved in actin cytoskeleton organization, endocytosis, late Golgi-retention of some proteins, regulation of peroxisome biogenesis",0.35,6.63,5.56,,X,,,0,0.93,0.02,X,,,,,,,93%
VPS13,YLL040C,Q07878,"Protein involved in prospore membrane morphogenesis; heterooligomeric or homooligomeric complex; peripherally associated with membranes; involved in sporulation, vacuolar protein sorting, prospore membrane formation during sporulatoin, and protein-Golgi retention; homologous to human CHAC and COH1 which are involved in chorea acanthocytosis and Cohen syndrome, respectively",0.57,2.76,35.71,,,,X,0,0.27,0.49,,,,,,,,49%
VPS21,YOR089C,P36017,"Endosomal Rab family GTPase; required for endocytic transport and sorting of vacuolar hydrolases; required for endosomal localization of the CORVET complex; required with YPT52 for MVB biogenesis and sorting; involved in autophagy and ionic stress tolerance; geranylgeranylation required for membrane association; protein abundance increases in response to DNA replication stress; mammalian Rab5 homolog; VPS21 has a paralog, YPT53, that arose from the whole genome duplication",0.46,0.05*,2.21,,,X,,0,0,0,X,,,,,,,0%
WBP1,YEL002C,P33767,Beta subunit of the oligosaccharyl transferase glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic reticulum,0.32,0.5,3.1,,,X,,0,0,0.96,X,,,,,,,96%
WWM1,YFL010C,P43582,"WW domain containing protein of unknown function; binds to Mca1p, a caspase-related protease that regulates H2O2-induced apoptosis; overexpression causes G1 phase growth arrest and clonal death that is suppressed by overexpression of MCA1",8.57,7.06,6.92,X,,,,0.81,0,0,,,,X,,,,81%
XDJ1,YLR090W,P39102,"Chaperone with a role in facilitating mitochondrial protein import; ascomycete-specific member of the DnaJ-like family, closely related to Ydj1p; predicted to be C-terminally prenylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.52,9.63,0,,X,,,0,0.96,0,,X,,,,,,96%
YAH1,YPL252C,Q12184,Ferredoxin of the mitochondrial matrix; required for formation of cellular iron-sulfur proteins; involved in heme A biosynthesis; homologous to human adrenodoxin,23.75,20.00*,0,X,,,,0,0,0,,,,X,,,,0%
YAL044W-A,YAL044W-A,Q3E793,Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein,8.76,10.61,0,X,,,,0.97,0,0,,,,X,,,,97%
YBL029C-A,YBL029C-A,Q3E756,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica,0.17,0.17,3.38,,,X,,0,0,0.93,,X,,,,,,93%
YBL059W,YBL059W,P34224,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YBL059W has a paralog, YER093C-A, that arose from the whole genome duplication",0.25,0.33,0.03,,,X,,0,0,0.96,,X,,,,,,96%
YBL095W,YBL095W,P38172,"Putative protein of unknown function; likely functions in cristae junction formation; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.18,3.7,0,,X,,,0,0.73,0.08,,X,,,,,,73%
YBR016W,YBR016W,P38216,"Tail-anchored plasma membrane protein with a conserved CYSTM module; predicted to be palmitoylated; has similarity to hydrophilins, which are involved in the adaptive response to hyperosmotic conditions; YBR016W has a paralog, YDL012C, that arose from the whole genome duplication",0.17,0.27,2.59,,,X,,0,0,0.93,,X,,,,,,93%
YBR056W,YBR056W,P38081,Putative glycoside hydrolase of the mitochondrial intermembrane space,2.71,4.4,112.12,,,,X,0.02,0.1,0,,,X,,,,,10%
YBR255C-A,YBR255C-A,Q3E776,Putative protein of unknown function; may interact with respiratory chain complexes III (ubiquinol-cytochrome c reductase) or IV (cytochrome c oxidase); identified by sequence comparison with hemiascomycetous yeast species,0.19,0.45,0.34,,,X,,0,0,0.93,,X,,,,,,93%
YCK1,YHR135C,P23291,"Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform; shares redundant functions with Yck2p in morphogenesis, proper septin assembly, endocytic trafficking, and glucose sensing; stabilized by Sod1p binding in the presence of glucose and oxygen, causing glucose repression of respiratory metabolism; YCK1 has a paralog, YCK2, that arose from the whole genome duplication",0.33,0.3,0.5,,,X,,0,0,0.97,,X,,,,,,97%
YCK2,YNL154C,P23292,"Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform; shares redundant functions with Yck1p in morphogenesis, proper septin assembly, endocytic trafficking, and glucose sensing; stabilized by Sod1p binding in the presence of glucose and oxygen, causing glucose repression of respiratory metabolism; YCK2 has a paralog, YCK1, that arose from the whole genome duplication",0.65,0.69,0.45,,,X,,0,0,0.88,,X,,,,,,88%
YCP4,YCR004C,P25349,"Protein of unknown function; has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.49,1,3.57,,,X,,0,0,0.92,,X,,,,,,92%
YDL012C,YDL012C,Q12489,"Tail-anchored plasma membrane protein with a conserved CYSTM module; possibly involved in response to stress; may contribute to non-homologous end-joining (NHEJ) based on ydl012c htz1 double null phenotype; YDL012C has a paralog, YBR016W, that arose from the whole genome duplication",0.24,0.28,0,,,X,,0,0,0.96,,X,,,,,,96%
YDL027C,YDL027C,Q07349,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene",0.16,0.1,0.29,,,X,,0,0,0.91,,X,,,,,,91%
YDL119C,YDL119C,Q07534,"Putative mitochondrial transport protein; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in purified mitochondria",0.2,0.27,0,,,X,,0,0,0.95,,X,,,,,,95%
YDL124W,YDL124W,Q07551,"NADPH-dependent alpha-keto amide reductase; reduces aromatic alpha-keto amides, aliphatic alpha-keto esters, and aromatic alpha-keto esters; member of the aldo-keto reductase (AKR) family; protein abundance increases in response to DNA replication stress",2.21,3.16,39.37,,,,X,0,0.03,0,,,,,,,,3%
YDL157C,YDL157C,Q12082,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",16.57,0.25,0,,,,X,0,0,0,,,,,,,,0%
YDL183C,YDL183C,P48569,Protein that may form an active mitochondrial KHE system; mitochondrial inner-membrane protein; non-essential gene; KHE system stands for K+/H+ exchanger system,0.27,2.27,0.42,,,X,,0,0.18,0.64,,X,,,,,,64%
YDL218W,YDL218W,Q07629,Putative protein of unknown function; YDL218W transcription is regulated by Azf1p and induced by starvation and aerobic conditions; expression also induced in cells treated with the mycotoxin patulin,0.21,0.09,##,,,X,,0,0,0.95,,X,,,,,,95%
YDR061W,YDR061W,Q12298,Protein with similarity to ABC transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance,1.62,6.1,0.21,,X,,,0,0.8,0,,X,,,,,,80%
YDR115W,YDR115W,Q04598,"Putative mitochondrial ribosomal protein of the large subunit; similar to E. coli L34 ribosomal protein; required for respiratory growth, as are most mitochondrial ribosomal proteins; protein increases in abundance and relocalizes to the plasma membrane upon DNA replication stress",1.86,0.18,0.3,,,,X,0,0,0.01,,,,,,,,1%
YDR282C,YDR282C,Q05648,"Mitochondrial inner membrane protein of unknown function; localizes to the inner membrane with the C terminus facing the intermembrane space; ortholog of human RMND1, mutation in which is implicated in infantile encephaloneuromyopathy and defective mitochondrial translation",0.3,0.8,0.22,,,X,,0,0,0.95,,X,,,,,,95%
YDR286C,YDR286C,Q05530,Putative protein of unknown function; predicted to have thiol-disulfide oxidoreductase active site,5.39,5.19,0,,,,X,0.26,0.01,0,,,,,,,,26%
YDR381C-A,YDR381C-A,Q3E6R5,Protein of unknown function; localized to the mitochondrial outer membrane,0.33,0.14,0.42,,,X,,0,0,0.97,X,,,,,,,97%
YEA6,YEL006W,P39953,"Putative mitochondrial NAD+ transporter; member of the mitochondrial carrier subfamily (see also YIA6); has putative human ortholog; YEA6 has a paralog, YIA6, that arose from the whole genome duplication",0.23,0.29,0,,,X,,0,0,0.96,,X,,,,,,96%
YER077C,YER077C,P40050,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; null mutation results in a decrease in plasma membrane electron transport,0.21,7.11,0,,X,,,0,0.88,0.01,,X,,,,,,88%
YET1,YKL065C,P35723,"Endoplasmic reticulum transmembrane protein; may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein; YET1 has a paralog, YET2, that arose from the whole genome duplication",0.29,0.22,2.7,,,X,,0,0,0.97,,X,,,,,,97%
YET3,YDL072C,Q07451,Protein of unknown function; YET3 null mutant decreases the level of secreted invertase; homolog of human BAP31 protein; protein abundance increases in response to DNA replication stress,0.4,0.23,2.25,,,X,,0,0,0.97,X,,,,,,,97%
YFH1,YDL120W,Q07540,Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog is mutated in Friedrich's ataxia,15.35,11.81,0.07,X,,,,0.97,0,0,,,,X,,,,97%
YFR045W,YFR045W,P43617,"Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white",0.12,0.07,0,,,X,,0,0,0.72,,X,,,,,,72%
YGL024W,YGL024W,P53190,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF PGD1/YGL025C",2.46,23.11,##,,X,,,0.09,0.87,0,,X,,,,,,87%
YGL041W-A,YGL041W-A,P0C5N3,Putative protein of unknown function; conserved in fungi; identified by expression profiling and mass spectrometry,4.95,10.17,0.45,X,,,,0.89,0.04,0,,,,X,,,,89%
YGR012W,YGR012W,P53206,Putative cysteine synthase; localized to the mitochondrial outer membrane,0.32,1.37,0.15,,,X,,0,0,0.91,X,,,,,,,91%
YGR021W,YGR021W,P53212,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",5.56,12.52,0.24,X,,,,0.94,0.03,0,,,,X,,,,94%
YGR053C,YGR053C,P53234,Putative protein of unknown function,2.78,10.95,0,X,,,,0.3,0.61,0,,,,X,,,,61%
YGR130C,YGR130C,P53278,Component of the eisosome with unknown function; GFP-fusion protein localizes to the cytoplasm; specifically phosphorylated in vitro by mammalian diphosphoinositol pentakisphosphate (IP7),4.77,4.75,42.89,,,,X,0.12,0.01,0,,,,,,,,12%
YGR266W,YGR266W,P53326,Protein of unknown function; predicted to contain a single transmembrane domain; mutant has increased aneuploidy tolerance; localized to both the mitochondrial outer membrane and the plasma membrane; protein abundance increases in response to DNA replication stress,2.75,5.73,1.61,,,,X,0.09,0.31,0,X,,,,,,,31%
YHB1,YGR234W,P39676,Nitric oxide oxidoreductase; flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses; protein increases in abundance and relocalizes from nucleus to cytoplasmic foci upon DNA replication stress,4.19,25.51,0.3,X,,,,0.56,0.39,0,,,,X,,,,56%
YHL018W,YHL018W,P38744,Putative 4a-hydroxytetrahydrobiopterin dehydratase; green fluorescent protein (GFP)-fusion protein localizes to mitochondria and is induced in response to the DNA-damaging agent MMS,8.4,3.17,0.37,,,,X,0,0,0,,,,,,,,0%
YHM2,YMR241W,Q04013,"Citrate and oxoglutarate carrier protein; exports citrate from and imports oxoglutarate into the mitochondrion, causing net export of NADPH reducing equivalents; also associates with mt nucleoids and has a role in replication and segregation of the mt genome",0.18,0.12,0.26,,,X,,0,0,0.93,,X,,,,,,93%
YHR097C,YHR097C,P38809,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YHR097C has a paralog, PAL1, that arose from the whole genome duplication",2.53,4.39,7.47,,,,X,0.01,0.14,0,,,,,,,,14%
YHR138C,YHR138C,P38841,Protein of unknown function; similar to Pbi2p; double null mutant lacking Pbi2p and Yhr138cp exhibits highly fragmented vacuoles; protein abundance increases in response to DNA replication stress,6.95,20.00**,41.93,X,,,,0,0,0,,,,X,,,,0%
YIA6,YIL006W,P40556,"Mitochondrial NAD+ transporter; involved in the transport of NAD+ into the mitochondria (see also YEA6); member of the mitochondrial carrier subfamily; disputed role as a pyruvate transporter; has putative mouse and human orthologs; YIA6 has a paralog, YEA6, that arose from the whole genome duplication",0.28,0.52,0,,,X,,0,0,0.96,,X,,,,,,96%
YIL077C,YIL077C,P40508,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)",0.21,0.15,0.21,,,X,,0,0,0.96,,X,,,,,,96%
YIL108W,YIL108W,P40483,Putative metalloendopeptidase; forms cytoplasmic foci upon DNA replication stress,0.54,4.06,0.86,,X,,,0,0.75,0.13,,X,,,,,,75%
YIL156W-B,YIL156W-B,Q2V2P4,Putative protein of unknown function; originally identified based on homology to <i>Ashbya gossypii</i> and other related yeasts,0.6,6.92,0.11,,X,,,0,0.95,0.01,,X,,,,,,95%
YIM1,YMR152W,P28625,"Protein of unknown function; null mutant displays sensitivity to DNA damaging agents; may have a role in lipid metabolism, based on localization to lipid droplets; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress",1.38,10.88,0.41,,X,,,0,0.96,0,X,,,,,,,96%
